gen,batch,idx,kind,kept,score,d_db,beam,eta,s11_worst,copper,peak_x,peak_y,npy,png
3,1,9,kid,0,7.349113,16.1488,0.6722,0.9447,-10.2960,96,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid009.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid009.png
3,1,10,kid,0,7.439053,16.0469,0.6713,0.9639,-11.4913,92,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid010.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid010.png
3,1,11,kid,0,7.371664,15.9856,0.6708,0.9488,-10.4757,94,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid011.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid011.png
3,1,12,kid,0,7.301974,15.9318,0.6703,0.9334,-9.6617,93,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid012.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid012.png
3,1,13,kid,0,7.325669,15.8818,0.6698,0.9382,-10.0404,98,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid013.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid013.png
3,1,14,kid,0,7.314719,15.8393,0.6694,0.9356,-9.9994,91,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid014.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid014.png
3,1,15,kid,0,7.533477,15.6482,0.6704,0.9831,-13.5792,90,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid015.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid015.png
3,1,16,kid,0,7.366179,15.5603,0.6695,0.9454,-10.2092,97,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid016.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid016.png
3,1,17,kid,0,7.524928,15.4208,0.6684,0.9799,-13.2844,94,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid017.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid017.png
4,1,1,kid,0,-21.274504,15.5293,0.6689,0.9975,-21.9289,3,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid001.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid001.png
4,1,2,kid,0,-21.110770,15.7805,0.6709,0.9515,-10.5671,4,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid002.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid002.png
4,1,3,kid,1,7.587399,15.9349,0.6726,0.9971,-19.8381,95,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid003.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid003.png
4,1,4,kid,0,-18.026948,15.9312,0.6739,0.8915,-7.7395,13,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid004.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid004.png
4,1,5,kid,0,6.848819,15.9269,0.6744,0.8414,-5.9861,165,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid005.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid005.png
4,1,6,kid,0,-21.283298,15.9959,0.6746,0.9975,-21.9289,3,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid006.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid006.png
4,1,7,kid,0,7.013333,16.0858,0.6750,0.8734,-7.8121,112,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid007.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid007.png
4,1,8,kid,0,7.510484,15.9042,0.6746,0.9786,-9.2265,188,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid008.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid008.png
4,1,9,kid,0,7.487250,15.5352,0.6817,0.9744,-12.4522,172,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid009.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid009.png
4,1,10,kid,0,7.546647,15.1233,0.6821,0.9878,-11.9579,178,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid010.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid010.png
4,1,11,kid,0,7.496150,14.7692,0.6843,0.9772,-13.1700,179,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid011.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid011.png
4,1,12,kid,0,7.517729,14.3373,0.6848,0.9808,-13.7793,176,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid012.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid012.png
