freq_Hz,S11_dB
8.318750000000000000e+09,-1.125574918912173539e+00
8.325000000000000000e+09,-1.118746851233843209e+00
8.331250000000000000e+09,-1.112038447800917318e+00
8.337500000000000000e+09,-1.105449278907170596e+00
8.343750000000000000e+09,-1.098978846943751586e+00
8.350000000000000000e+09,-1.092626564204183692e+00
8.356250000000000000e+09,-1.086391731847597741e+00
8.362500000000000000e+09,-1.080273520311343383e+00
8.368750000000000000e+09,-1.074270951455245537e+00
8.375000000000000000e+09,-1.068382882706491843e+00
8.381250000000000000e+09,-1.062607993458673183e+00
8.387500000000000000e+09,-1.056944773957561923e+00
8.393750000000000000e+09,-1.051391516884583099e+00
8.400000000000000000e+09,-1.045946311819287544e+00
8.406250000000000000e+09,-1.040607042735255838e+00
8.412500000000000000e+09,-1.035371388650148106e+00
8.418750000000000000e+09,-1.030236827513136166e+00
8.425000000000000000e+09,-1.025200643379062360e+00
8.431250000000000000e+09,-1.020259936875594242e+00
8.437500000000000000e+09,-1.015411638929832217e+00
8.443750000000000000e+09,-1.010652527678108648e+00
8.450000000000000000e+09,-1.005979248439178964e+00
8.456250000000000000e+09,-1.001388336588030725e+00
8.462500000000000000e+09,-9.968762431237667698e-01
8.468750000000000000e+09,-9.924393626823512227e-01
8.475000000000000000e+09,-9.880740637058980091e-01
8.481250000000000000e+09,-9.837767204382247277e-01
8.487500000000000000e+09,-9.795437463829252955e-01
8.493750000000000000e+09,-9.753716288249409949e-01
8.500000000000000000e+09,-9.712569639886036166e-01
